,listing_id,f,t,popularity
245,1066742,6.0,359.0,0.01643835616438356
246,1066767,7.0,358.0,0.019178082191780823
247,1067184,9.0,356.0,0.024657534246575342
248,1071144,8.0,357.0,0.021917808219178082
249,1071235,62.0,303.0,0.16986301369863013
250,1077105,117.0,248.0,0.32054794520547947
251,1090413,23.0,342.0,0.06301369863013699
252,1092093,57.0,308.0,0.15616438356164383
253,1094599,0.0,365.0,0.0
254,1102623,209.0,156.0,0.5726027397260274
255,1106555,0.0,365.0,0.0
256,1109224,34.0,331.0,0.09315068493150686
257,1110423,72.0,293.0,0.19726027397260273
258,1112067,20.0,345.0,0.0547945205479452
259,1112193,42.0,323.0,0.11506849315068493
260,1113272,55.0,310.0,0.1506849315068493
261,1115394,83.0,282.0,0.2273972602739726
262,1119740,8.0,357.0,0.021917808219178082
263,1128894,43.0,322.0,0.1178082191780822
264,1131634,52.0,313.0,0.14246575342465753
265,1136972,276.0,89.0,0.7561643835616438
266,1141522,28.0,337.0,0.07671232876712329
267,1141888,333.0,32.0,0.9123287671232877
268,1147871,30.0,335.0,0.0821917808219178
269,1161210,25.0,340.0,0.0684931506849315
270,1166808,4.0,361.0,0.010958904109589041
271,1167221,48.0,317.0,0.13150684931506848
272,1171578,15.0,350.0,0.0410958904109589
273,1173306,117.0,248.0,0.32054794520547947
274,1174776,86.0,279.0,0.2356164383561644
275,1175376,29.0,336.0,0.07945205479452055
276,1178106,7.0,358.0,0.019178082191780823
277,1178162,23.0,342.0,0.06301369863013699
278,1178371,219.0,146.0,0.6
279,1179399,164.0,201.0,0.44931506849315067
280,1183032,314.0,51.0,0.8602739726027397
281,1185034,68.0,297.0,0.1863013698630137
282,1187188,1.0,364.0,0.0027397260273972603
283,1197857,28.0,337.0,0.07671232876712329
284,1200502,94.0,271.0,0.25753424657534246
285,1203014,60.0,305.0,0.1643835616438356
286,1214214,1.0,364.0,0.0027397260273972603
287,1220971,79.0,286.0,0.21643835616438356
288,1222327,117.0,248.0,0.32054794520547947
289,1223050,305.0,60.0,0.8356164383561644
290,1234740,14.0,351.0,0.038356164383561646
291,1240598,62.0,303.0,0.16986301369863013
292,1242798,365.0,0.0,1.0
293,1248870,55.0,310.0,0.1506849315068493
294,1252289,243.0,122.0,0.6657534246575343
295,1262443,89.0,276.0,0.24383561643835616
296,1264217,338.0,27.0,0.9260273972602739
297,1275498,113.0,252.0,0.3095890410958904
298,1277618,344.0,21.0,0.9424657534246575
299,1301500,300.0,65.0,0.821917808219178
300,1303261,0.0,365.0,0.0
301,1321422,95.0,270.0,0.2602739726027397
302,1322461,365.0,0.0,1.0
303,1327725,72.0,293.0,0.19726027397260273
304,1329627,27.0,338.0,0.07397260273972603
305,1332786,182.0,183.0,0.4986301369863014
306,1340290,0.0,365.0,0.0
307,1340649,10.0,355.0,0.0273972602739726
308,1341072,359.0,6.0,0.9835616438356164
309,1342370,52.0,313.0,0.14246575342465753
310,1352776,293.0,72.0,0.8027397260273973
311,1358531,1.0,364.0,0.0027397260273972603
312,1365335,117.0,248.0,0.32054794520547947
313,1372816,37.0,328.0,0.10136986301369863
314,1373520,35.0,330.0,0.0958904109589041
315,1374434,114.0,251.0,0.31232876712328766
316,1374466,116.0,249.0,0.3178082191780822
317,1391215,23.0,342.0,0.06301369863013699
318,1391492,47.0,318.0,0.12876712328767123
